Year,Estimate,Lower bound,Upper bound
2020.5,29.1045872199157,26.3582403198943,32.1197727860653
2019.5,30.6715551529645,28.2338313408551,33.3412692291006
2018.5,32.4017404891677,30.2351612947496,34.7079346928287
2017.5,34.218625508181,32.2887698397804,36.2626468577431
2016.5,36.1146509438114,34.3772874463339,37.9928550876911
2015.5,38.0725399428719,36.3962977466391,39.840912966675
2014.5,40.0874176719922,38.4645987803955,41.8341875699203
2013.5,42.1766863693667,40.5452466847348,43.9005741463846
2012.5,44.3740796890741,42.7100712506185,46.1026363342519
2011.5,46.6792372088202,44.9678827828241,48.4639956633545
2010.5,49.148374639707,47.3732886261239,50.9411105096364
2009.5,51.8035044239959,49.9939240011197,53.6257094079498
2008.5,54.6633989472523,52.7792273783486,56.5343718933706
2007.5,57.7507090744947,55.7608629541245,59.6884007073311
2006.5,61.0440823809304,58.9806322141956,63.0755305182936
2005.5,64.5531319778881,62.3924247370474,66.7161987611352
2004.5,68.282432889877,66.037706002759,70.5325553223913
2003.5,72.2643779239629,69.8905141022455,74.6879362426187
2002.5,76.5280675120916,74.0627150743346,79.0817966271027
2001.5,81.129426338024,78.5366881095792,83.7698172616925
2000.5,86.0379959114661,83.3093967979881,88.8574609580805
1999.5,91.2761336531994,88.4282170013748,94.2994666612747
1998.5,96.8285793601076,93.8466068045867,100.054347478237
1997.5,102.584047716973,99.4868422283449,105.999959488062
1996.5,108.578970966601,105.244617526367,112.133228676821
1995.5,114.699332210709,111.151709887831,118.397263850058
1994.5,120.921739114013,117.236829289803,124.773132331755
1993.5,127.184501156364,123.29113287372,131.306397436457
1992.5,133.508158653271,129.43853612628,137.800120981957
1991.5,139.835710570432,135.470343190843,144.298054336906
1990.5,146.149719007498,141.597998901815,150.846446799787
1989.5,152.43414562261,147.688946655731,157.362333395708
1988.5,158.749722011808,153.794109699465,163.894920698427
1987.5,165.114345752767,159.876753749557,170.526123101876
1986.5,171.525008584467,166.064225674931,177.13767015927
1985.5,177.770446620831,171.986395338266,183.788663688033
1984.5,183.870574417966,177.632859694798,190.241492866907
1983.5,189.739596850968,183.133462815036,196.618412845231
1982.5,195.314622451086,188.298893291931,202.700287086027
1981.5,200.674067761003,193.140201553008,208.491379804048
1980.5,205.724659290054,197.557231838526,214.246371441137
1979.5,210.522421081271,201.714268057627,219.543328139396
1978.5,214.895258551028,205.59117210679,224.461701069936
1977.5,218.636249006329,209.017053607142,228.723475083496
1976.5,221.785734256743,211.659377295601,232.416129814287
1975.5,224.18567053146,213.657005408057,235.487287551621
1974.5,225.944805027714,215.114884618204,237.727163432559
1973.5,227.064185380105,215.880786197424,239.26813335246
1972.5,227.671291321352,216.087091227457,240.351312081242
1971.5,371.325965889807,351.649687783271,392.627111635035
1970.5,273.801024478289,258.594967027531,289.869794524523
1969.5,228.744123241424,215.571482915142,242.484605596463
1968.5,229.718230566977,215.857027607004,243.88098879566
1967.5,231.258948748615,216.734495671595,246.003586902185
1966.5,233.519240217132,218.436533853601,249.083180827679
1965.5,236.471343986325,220.773867374678,253.057303002215
1964.5,240.487258186128,223.854686676364,258.052416593614
1963.5,245.146725280518,227.676219157451,263.874418703024
1962.5,250.395365150346,231.690380916374,270.458548337859
1961.5,256.233898983357,236.214604406343,277.599148652808
1960.5,262.624448138263,241.152898209584,286.032565266738
1959.5,269.229419422813,246.14680129335,295.155513249724
1958.5,276.354436841443,251.559449684463,304.36044532973
1957.5,283.858964894783,257.168029818159,314.192155764114
1956.5,291.613080977087,262.777316756432,324.631158430426
1955.5,299.967522088339,268.473650603124,335.593418570886
1954.5,308.543970316475,274.093343863378,347.682225847051
1953.5,317.55251903158,279.996442950152,360.902462586848
1952.5,326.951066863926,285.168193575963,375.391917545163
1951.5,336.930955559517,290.23432867803,391.278529871356
1950.5,347.054779036414,294.505287175364,409.78444642293
