Year,Estimate,Lower bound,Upper bound
2020.5,40.470401048801,26.117856303857,63.2023878665339
2019.5,41.9274320623584,28.6160544464052,61.7003059550195
2018.5,43.398239602266,31.2420865811877,60.2210069834371
2017.5,44.6210859360817,34.0209927458805,58.3686032467999
2016.5,45.9759859647321,36.8938863869258,57.3017118018187
2015.5,47.7053266449062,39.7368327612715,57.4320609339173
2014.5,49.7256368803176,42.4373762139285,58.5436887012398
2013.5,52.0109103575915,45.0339813503574,60.390609298536
2012.5,54.9274398433798,48.0885180427736,62.7593115317569
2011.5,58.5831584460613,52.1174148010903,65.943208091037
2010.5,63.8436927145993,57.6784530853679,70.8057759914871
2009.5,69.6303062391355,63.3954985883942,76.4436191483131
2008.5,76.3216615514478,69.9905325017238,83.4193284367502
2007.5,84.4371673915225,77.7668287632381,91.9047295743609
2006.5,93.9253991369218,86.9621194034328,101.769622464321
2005.5,105.411177483731,97.9100253949778,113.670884762317
2004.5,118.625280496421,110.575862074142,127.429492909801
2003.5,133.462483668529,124.619158025547,142.899904894715
2002.5,149.623134524616,139.859399651715,160.056213550425
2001.5,167.404848399363,157.03437999748,178.452919837028
2000.5,185.158406739038,174.158994170015,197.045030660051
1999.5,200.757343758339,189.089913312238,213.247824680519
1998.5,213.244562942401,200.957287374293,226.14443766525
1997.5,221.699281360425,208.88638414459,235.206474678235
1996.5,224.510709795614,211.492326315046,238.366628286016
1995.5,219.932562262984,206.561006726007,234.069603787175
1994.5,341.164017662954,320.624090292265,362.83181478065
1993.5,190.418971356897,179.282367260502,202.228839737559
1992.5,173.475938386425,163.286611202644,184.2961928522
1991.5,159.521083461329,150.39153571811,169.442505333906
1990.5,150.289548200427,141.280649628431,159.843724263965
1989.5,146.409301370365,137.57266535668,155.666131956951
1988.5,147.055787961339,138.202298912508,156.46234196972
1987.5,150.310738590623,141.076337278217,160.162534093217
1986.5,154.692339682393,144.894252456896,165.023193091104
1985.5,160.024341761829,149.606517794054,171.242488029642
1984.5,166.499304705455,155.680730136606,178.06119335965
1983.5,174.917379755813,163.756519536523,186.850992691941
1982.5,186.622555945734,174.583999775238,199.589837440371
1981.5,202.007423151385,189.02928884369,215.923452284943
1980.5,218.726165484468,204.272495552156,234.342508314927
1979.5,233.766420532051,217.929440397444,250.882687674469
1978.5,244.963438459236,228.331746202226,263.139904438936
1977.5,250.589870642687,233.542738491702,269.237459732366
1976.5,250.709898037807,233.61637339894,268.903953618564
1975.5,246.505893902828,229.237646291206,265.042464544126
1974.5,240.458639765133,223.060891783907,258.909211980684
1973.5,234.074145645897,216.913447191016,252.424920677038
1972.5,228.686835413266,211.795423421001,247.084793969133
1971.5,224.895372790924,208.26780468086,242.930452728447
1970.5,221.893393199944,205.016742916278,240.037680730332
1969.5,218.452771615713,201.702870967345,237.29033319564
1968.5,215.172396787052,198.273820977917,234.588319665381
1967.5,212.344055968479,194.716183461152,232.446951630285
1966.5,210.39278082785,192.218728437779,230.919279048386
1965.5,209.533816456338,190.315430822269,230.741683656824
1964.5,209.557227759197,189.491292098458,231.880341326894
1963.5,210.539116922632,189.149719035255,234.437781334783
1962.5,212.859311479782,190.295153216565,238.195271305493
1961.5,216.164043306496,192.666151535609,243.754328141911
1960.5,221.022718420799,196.618379375199,250.758539167697
1959.5,227.312370195387,200.888834663891,260.006262779563
1958.5,234.292474757689,203.748272837214,273.965658252229
1957.5,241.798547571126,201.805586974165,293.326253733396
1956.5,249.227626220063,196.228037654351,322.610254962971
