region,urban_prop,,urban,,rural,total
Bubanza,0.066314722,4255,22126,66282,311525.4,333651.4
Bujumbura Rural,0.054241508,4461,23197.2,86057,404467.9,427665.1
Bururi,0.028234014,1529,7950.8,58224,273652.8,281603.6
Cankuzo,0.015847558,674,3504.8,46309,217652.3,221157.1
Cibitoke,0.055381886,4797,24944.4,90524,425462.8,450407.2
Gitega,0.059665718,8318,43253.6,145038,681678.6,724932.2
Karuzi,0.024588461,2066,10743.2,90676,426177.2,436920.4
Kayanza,0.040046397,4540,23608,120406,565908.2,589516.2
Kirundo,0.021774109,2903,15095.6,144295,678186.5,693282.1
Makamba,0.039753142,3054,15880.8,81618,383604.6,399485.4
Muramvya,0.031783938,1765,9178,59486,279584.2,288762.2
Muyinga,0.016888278,2180,11336,140404,659898.8,671234.8
Mwaro,0.012833806,666,3463.2,56678,266386.6,269849.8
Ngozi,0.053986919,7178,37325.6,139161,654056.7,691382.3
Rutana,0.031822612,1993,10363.6,67086,315304.2,325667.8
Ruyigi,0.021995133,1719,8938.8,84566,397460.2,406399
Bujumbura Mairie,1,97705,508066,0,0,508066
Rumonge,0.10870192,6815,35438,61824,290572.8,326010.8
