region,urban_prop
Balaka,0.063807467
Blantyre,0.644692992
Chikwawa,0.027619689
Chiradzulu,0.007908007
Chitipa,0.07421092
Dedza,0.029444902
Dowa,0.035172254
Karonga,0.142667088
Kasungu,0.067516588
Likoma,0.142377799
Lilongwe,0.348003779
Machinga,0.044101805
Mangochi,0.043637442
Mchinji,0.035150145
Mulanje,0.024348211
Mwanza,0.15055594
Mzimba,0.176189895
Neno,0.013769716
Nkhata Bay,0.051575898
Nkhotakota,0.076910719
Nsanje,0.077064853
Ntcheu,0.027797902
Ntchisi,0.031375079
Phalombe,0.013928808
Rumphi,0.102493168
Salima,0.075308689
Thyolo,0.016191622
Zomba,0.113300186
